id,name,party_name,council_id,council_name,election,cand_ward_id,map_ward_id,ward_name,contested,elected,status,occurred_on_count,first_prefs,transfers02,total_votes02,transfers03,total_votes03,transfers04,total_votes04,transfers05,total_votes05,transfers06,total_votes06,transfers07,total_votes07,transfers08,total_votes08,transfers09,total_votes09,transfers10,total_votes10,transfers11,total_votes11,transfers12,total_votes12,electorate,total_poll,valid_poll,rejected,quota,seats,candidates
8239,"Willie Young","Labour Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:bridge-of-don,S13002836,"Bridge of Don",1,0,Excluded,8,805.00000,44.96600,849.96600,4.12542,854.09142,2.10062,856.19204,0.00000,856.19204,15.12415,871.31619,155.00957,1026.32576,20.70680,1047.03256,-1047.03256,0.00000,,,,,,,14910,7350,7236,114,1448,4,9
1538,"Barney Crockett","Labour Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:dycebucksburndanestone,S13002835,Dyce/Bucksburn/Danestone,1,1,Elected,6,744.00000,62.07214,806.07214,7.50168,813.57382,328.02886,1141.60268,131.80386,1273.40654,210.38360,1483.79014,,,,,,,,,,,,,15272,6753,6608,145,1322,4,7
20973,"Coral Duthie",Independent,aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:dycebucksburndanestone,S13002835,Dyce/Bucksburn/Danestone,1,0,Excluded,5,509.00000,149.17890,658.17890,11.66928,669.84818,39.08336,708.93154,234.01120,942.94274,-942.94274,0.00000,,,,,,,,,,,,,15272,6753,6608,145,1322,4,7
20974,"Graeme Stephen Lawrence","Labour Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:dycebucksburndanestone,S13002835,Dyce/Bucksburn/Danestone,1,0,Excluded,3,458.00000,46.98278,504.98278,9.37710,514.35988,-514.35988,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,,,,,,,,,15272,6753,6608,145,1322,4,7
20980,"Neil MacGregor","Scottish National Party (SNP)",aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:dycebucksburndanestone,S13002835,Dyce/Bucksburn/Danestone,1,1,Elected,1,1670.00000,0.00000,1670.00000,-348.00000,1322.00000,0.00000,1322.00000,0.00000,1322.00000,0.00000,1322.00000,,,,,,,,,,,,,15272,6753,6608,145,1322,4,7
19870,"Avril MacKenzie","Conservative and Unionist Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:dycebucksburndanestone,S13002835,Dyce/Bucksburn/Danestone,1,1,Elected,1,2012.00000,-690.00000,1322.00000,0.00000,1322.00000,0.00000,1322.00000,0.00000,1322.00000,0.00000,1322.00000,,,,,,,,,,,,,15272,6753,6608,145,1322,4,7
20981,"Dorothy Pearce","Liberal Democrats",aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:dycebucksburndanestone,S13002835,Dyce/Bucksburn/Danestone,1,0,Excluded,4,430.00000,184.50172,614.50172,11.04414,625.54586,40.67304,666.21890,-666.21890,0.00000,0.00000,0.00000,,,,,,,,,,,,,15272,6753,6608,145,1322,4,7
8256,"Gill Samarai","Scottish National Party (SNP)",aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:dycebucksburndanestone,S13002835,Dyce/Bucksburn/Danestone,1,1,Elected,6,785.00000,13.71760,798.71760,288.60630,1087.32390,28.18644,1115.51034,61.31858,1176.82892,141.07828,1317.90720,,,,,,,,,,,,,15272,6753,6608,145,1322,4,7
20904,"Dell Henrickson","Scottish National Party (SNP)",aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:george-stharbour,S13002842,"George St/Harbour",1,1,Elected,1,753.00000,-28.00000,725.00000,0.00000,725.00000,0.00000,725.00000,0.00000,725.00000,0.00000,725.00000,0.00000,725.00000,0.00000,725.00000,0.00000,725.00000,,,,,,,12226,3725,3622,103,725,4,9
21070,"Ryan Houghton","Conservative and Unionist Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:george-stharbour,S13002842,"George St/Harbour",1,1,Elected,9,588.00000,0.59488,588.59488,13.11154,601.70642,40.03718,641.74360,5.00000,646.74360,3.19641,649.94001,14.17558,664.11559,24.77044,688.88603,147.48650,836.37253,,,,,,,12226,3725,3622,103,725,4,9
21071,"Michael Frederick Hutchison","Scottish National Party (SNP)",aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:george-stharbour,S13002842,"George St/Harbour",1,1,Elected,5,632.00000,18.51564,650.51564,3.00000,653.51564,23.14872,676.66436,189.98212,866.64648,-141.64648,725.00000,0.00000,725.00000,0.00000,725.00000,0.00000,725.00000,,,,,,,12226,3725,3622,103,725,4,9
20500,"Guy Ingerson","Scottish Green Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:george-stharbour,S13002842,"George St/Harbour",1,0,Excluded,8,364.00000,1.04104,365.04104,1.00000,366.04104,59.07436,425.11540,15.18590,440.30130,49.40452,489.70582,10.50853,500.21435,34.61640,534.83075,-534.83075,0.00000,,,,,,,12226,3725,3622,103,725,4,9
21072,"Sandra Macdonald","Labour Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:george-stharbour,S13002842,"George St/Harbour",1,1,Elected,7,545.00000,0.89232,545.89232,4.00000,549.89232,29.00000,578.89232,4.07436,582.96668,13.86902,596.83570,267.34552,864.18122,-139.18122,725.00000,0.00000,725.00000,,,,,,,12226,3725,3622,103,725,4,9
21073,"Mike Scott","Labour Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:george-stharbour,S13002842,"George St/Harbour",1,0,Excluded,6,292.00000,0.14872,292.14872,1.00000,293.14872,22.00000,315.14872,1.07436,316.22308,3.91694,320.14002,-320.14002,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,,,12226,3725,3622,103,725,4,9
21074,"John William Stephen","UK Independence Party (UKIP)",aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:george-stharbour,S13002842,"George St/Harbour",1,0,Excluded,2,32.00000,0.14872,32.14872,-32.14872,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,,,12226,3725,3622,103,725,4,9
21075,"Wendy Alison Edmond Stuart","Scottish National Party (SNP)",aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:george-stharbour,S13002842,"George St/Harbour",1,0,Excluded,4,210.00000,5.42828,215.42828,1.03718,216.46546,6.07436,222.53982,-222.53982,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,,,12226,3725,3622,103,725,4,9
8221,"John Waddell","Liberal Democrats",aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:george-stharbour,S13002842,"George St/Harbour",1,0,Excluded,3,206.00000,0.33462,206.33462,5.00000,211.33462,-211.33462,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,,,12226,3725,3622,103,725,4,9
20905,"John Cooke","Scottish National Party (SNP)",aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:hazleheadqueens-crosscountesswells,S13002844,"Hazlehead/Queens Cross/Countesswells",1,1,Elected,5,1210.00000,29.99064,1239.99064,11.81477,1251.80541,120.15766,1371.96307,24.48640,1396.44947,,,,,,,,,,,,,,,14068,7639,7508,131,1502,4,6
21079,"Martin Greig","Liberal Democrats",aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:hazleheadqueens-crosscountesswells,S13002844,"Hazlehead/Queens Cross/Countesswells",1,1,Elected,1,1592.00000,0.00000,1592.00000,-90.00000,1502.00000,0.00000,1502.00000,0.00000,1502.00000,,,,,,,,,,,,,,,14068,7639,7508,131,1502,4,6
21080,"Claire Imrie","Conservative and Unionist Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:hazleheadqueens-crosscountesswells,S13002844,"Hazlehead/Queens Cross/Countesswells",1,1,Elected,5,1326.00000,54.55194,1380.55194,14.86739,1395.41933,52.60468,1448.02401,1166.17269,2614.19670,,,,,,,,,,,,,,,14068,7639,7508,131,1502,4,6
21081,"John McLeod","Labour Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:hazleheadqueens-crosscountesswells,S13002844,"Hazlehead/Queens Cross/Countesswells",1,0,Excluded,3,441.00000,29.21502,470.21502,10.96682,481.18184,-481.18184,0.00000,0.00000,0.00000,,,,,,,,,,,,,,,14068,7639,7508,131,1502,4,6
21082,"Steve Robertson","Conservative and Unionist Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:hazleheadqueens-crosscountesswells,S13002844,"Hazlehead/Queens Cross/Countesswells",1,0,Excluded,4,1214.00000,37.48830,1251.48830,22.38588,1273.87418,71.62089,1345.49507,-1345.49507,0.00000,,,,,,,,,,,,,,,14068,7639,7508,131,1502,4,6
21083,"Jennifer Stewart","Liberal Democrats",aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:hazleheadqueens-crosscountesswells,S13002844,"Hazlehead/Queens Cross/Countesswells",1,1,Elected,1,1725.00000,-223.00000,1502.00000,0.00000,1502.00000,0.00000,1502.00000,0.00000,1502.00000,,,,,,,,,,,,,,,14068,7639,7508,131,1502,4,6
21087,"Neil Cameron Copland","Scottish National Party (SNP)",aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:hiltonwoodsidestockethill,S13002839,Hilton/Woodside/Stockethill,1,1,Elected,1,1148.00000,-13.00000,1135.00000,0.00000,1135.00000,0.00000,1135.00000,0.00000,1135.00000,0.00000,1135.00000,0.00000,1135.00000,0.00000,1135.00000,,,,,,,,,11544,4674,4537,137,1135,3,8
21088,"Lesley Dunbar","Labour Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:hiltonwoodsidestockethill,S13002839,Hilton/Woodside/Stockethill,1,1,Elected,6,818.00000,0.84900,818.84900,25.03396,843.88296,27.02264,870.90560,43.03396,913.93956,339.02264,1252.96220,-117.96220,1135.00000,0.00000,1135.00000,,,,,,,,,11544,4674,4537,137,1135,3,8
21089,"David Page Henderson",Independent,aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:hiltonwoodsidestockethill,S13002839,Hilton/Woodside/Stockethill,1,0,Excluded,2,179.00000,0.37356,179.37356,-179.37356,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,,,,,11544,4674,4537,137,1135,3,8
19873,"Freddie John","Conservative and Unionist Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:hiltonwoodsidestockethill,S13002839,Hilton/Woodside/Stockethill,1,1,Elected,8,889.00000,0.19244,889.19244,25.01132,914.20376,19.00000,933.20376,58.00000,991.20376,28.02264,1019.22640,20.44004,1039.66644,195.55618,1235.22262,,,,,,,,,11544,4674,4537,137,1135,3,8
20497,"Peter Kennedy","Scottish Green Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:hiltonwoodsidestockethill,S13002839,Hilton/Woodside/Stockethill,1,0,Excluded,3,186.00000,0.45280,186.45280,37.03396,223.48676,-223.48676,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,,,,,11544,4674,4537,137,1135,3,8
21090,"Lewis Macleod","Labour Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:hiltonwoodsidestockethill,S13002839,Hilton/Woodside/Stockethill,1,0,Excluded,5,369.00000,0.29432,369.29432,10.01132,379.30564,14.01132,393.31696,52.02264,445.33960,-445.33960,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,,,,,11544,4674,4537,137,1135,3,8
21091,"Sam Petchey","Liberal Democrats",aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:hiltonwoodsidestockethill,S13002839,Hilton/Woodside/Stockethill,1,0,Excluded,4,219.00000,0.19244,219.19244,29.03396,248.22640,60.04528,308.27168,-308.27168,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,,,,,11544,4674,4537,137,1135,3,8
20908,"Lauren Stephanie Wards","Scottish National Party (SNP)",aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:hiltonwoodsidestockethill,S13002839,Hilton/Woodside/Stockethill,1,0,Excluded,7,729.00000,9.91632,738.91632,22.16980,761.08612,68.31696,829.40308,55.10188,884.50496,22.22640,906.73136,18.29814,925.02950,-925.02950,0.00000,,,,,,,,,11544,4674,4537,137,1135,3,8
21092,"Finlay Crossan",Independent,aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:kincorthniggcove,S13002847,Kincorth/Nigg/Cove,1,0,Excluded,3,220.00000,4.12592,224.12592,8.78586,232.91178,-232.91178,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,,,,,12953,5296,5176,120,1036,4,8
8238,"Sarah Duncan","Labour Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:kincorthniggcove,S13002847,Kincorth/Nigg/Cove,1,1,Elected,8,590.00000,5.67314,595.67314,6.22620,601.89934,13.55344,615.45278,0.46583,615.91861,55.04706,670.96567,289.10761,960.07328,238.49368,1198.56696,,,,,,,,,12953,5296,5176,120,1036,4,8
21093,"Andy Finlayson",Independent,aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:kincorthniggcove,S13002847,Kincorth/Nigg/Cove,1,0,Excluded,7,562.00000,9.54119,571.54119,14.38944,585.93063,133.56588,719.49651,1.30997,720.80648,91.25853,812.06501,33.43973,845.50474,-845.50474,0.00000,,,,,,,,,12953,5296,5176,120,1036,4,8
21094,"Cameron Finnie","Liberal Democrats",aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:kincorthniggcove,S13002847,Kincorth/Nigg/Cove,1,0,Excluded,5,270.00000,3.09444,273.09444,13.14420,286.23864,19.01885,305.25749,0.66953,305.92702,-305.92702,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,,,,,12953,5296,5176,120,1036,4,8
21095,"Stephen Flynn","Scottish National Party (SNP)",aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:kincorthniggcove,S13002847,Kincorth/Nigg/Cove,1,1,Elected,1,1396.00000,-360.00000,1036.00000,0.00000,1036.00000,0.00000,1036.00000,0.00000,1036.00000,0.00000,1036.00000,0.00000,1036.00000,0.00000,1036.00000,,,,,,,,,12953,5296,5176,120,1036,4,8
21096,"Alex Nicoll","Scottish National Party (SNP)",aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:kincorthniggcove,S13002847,Kincorth/Nigg/Cove,1,1,Elected,4,707.00000,313.31205,1020.31205,2.76720,1023.07925,18.87427,1041.95352,-5.95352,1036.00000,0.00000,1036.00000,0.00000,1036.00000,0.00000,1036.00000,,,,,,,,,12953,5296,5176,120,1036,4,8
19875,"Philip Sellar","Conservative and Unionist Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:kincorthniggcove,S13002847,Kincorth/Nigg/Cove,1,1,Elected,1,1113.00000,0.00000,1113.00000,-77.00000,1036.00000,0.00000,1036.00000,0.00000,1036.00000,0.00000,1036.00000,0.00000,1036.00000,0.00000,1036.00000,,,,,,,,,12953,5296,5176,120,1036,4,8
21097,"Lynn Thomson","Labour Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:kincorthniggcove,S13002847,Kincorth/Nigg/Cove,1,0,Excluded,6,318.00000,4.12592,322.12592,7.40226,329.52818,14.13836,343.66654,0.41569,344.08223,44.20194,388.28417,-388.28417,0.00000,0.00000,0.00000,,,,,,,,,12953,5296,5176,120,1036,4,8
21034,"David John Cameron","Scottish National Party (SNP)",aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:kingswellssheddocksleysummerhill,S13002837,Kingswells/Sheddocksley/Summerhill,1,1,Elected,5,895.00000,77.56904,972.56904,2.30904,974.87808,22.96216,997.84024,668.88648,1666.72672,-405.72672,1261.00000,0.00000,1261.00000,,,,,,,,,,,11272,5128,5043,85,1261,3,7
21035,"Philip Frederick Clarke","UK Independence Party (UKIP)",aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:kingswellssheddocksleysummerhill,S13002837,Kingswells/Sheddocksley/Summerhill,1,0,Excluded,2,68.00000,9.58024,77.58024,-77.58024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,,,,,,,11272,5128,5043,85,1261,3,7
21036,"Steve Delaney","Liberal Democrats",aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:kingswellssheddocksleysummerhill,S13002837,Kingswells/Sheddocksley/Summerhill,1,1,Elected,1,1825.00000,-564.00000,1261.00000,0.00000,1261.00000,0.00000,1261.00000,0.00000,1261.00000,0.00000,1261.00000,0.00000,1261.00000,,,,,,,,,,,11272,5128,5043,85,1261,3,7
20933,"Josh Mennie","Scottish National Party (SNP)",aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:kingswellssheddocksleysummerhill,S13002837,Kingswells/Sheddocksley/Summerhill,1,0,Excluded,4,678.00000,44.81080,722.81080,8.54520,731.35600,38.34408,769.70008,-769.70008,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,,,,,,,11272,5128,5043,85,1261,3,7
21037,"Barry Mitchell","Labour Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:kingswellssheddocksleysummerhill,S13002837,Kingswells/Sheddocksley/Summerhill,1,0,Excluded,6,690.00000,77.87808,767.87808,11.16328,779.04136,39.12544,818.16680,30.56272,848.72952,104.02706,952.75658,-952.75658,0.00000,,,,,,,,,,,11272,5128,5043,85,1261,3,7
20496,"Pippa Robertson","Scottish Green Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:kingswellssheddocksleysummerhill,S13002837,Kingswells/Sheddocksley/Summerhill,1,0,Excluded,3,90.00000,59.64472,149.64472,9.85424,159.49896,-159.49896,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,,,,,,,11272,5128,5043,85,1261,3,7
21078,"John Wheeler","Conservative and Unionist Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:kingswellssheddocksleysummerhill,S13002837,Kingswells/Sheddocksley/Summerhill,1,1,Elected,7,797.00000,154.82904,951.82904,28.16328,979.99232,20.88928,1000.88160,8.16328,1009.04488,24.29708,1033.34196,308.31284,1341.65480,,,,,,,,,,,11272,5128,5043,85,1261,3,7
19869,"Philip Bell","Conservative and Unionist Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:lower-deeside,S13002843,"Lower Deeside",1,1,Elected,1,2714.00000,-1011.00000,1703.00000,0.00000,1703.00000,0.00000,1703.00000,0.00000,1703.00000,0.00000,1703.00000,0.00000,1703.00000,0.00000,1703.00000,,,,,,,,,11887,6863,6811,52,1703,3,8
21099,"Marie Boulton",Independent,aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:lower-deeside,S13002843,"Lower Deeside",1,1,Elected,6,1119.00000,330.41637,1449.41637,3.11753,1452.53390,59.46813,1512.00203,44.09761,1556.09964,266.65937,1822.75901,-119.75901,1703.00000,0.00000,1703.00000,,,,,,,,,11887,6863,6811,52,1703,3,8
21100,"Robbie Bowman","Scottish Libertarian Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:lower-deeside,S13002843,"Lower Deeside",1,0,Excluded,2,31.00000,14.90040,45.90040,-45.90040,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,,,,,11887,6863,6811,52,1703,3,8
19868,"Tauqeer Malik","Labour Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:lower-deeside,S13002843,"Lower Deeside",1,1,Elected,8,1040.00000,115.47810,1155.47810,9.60757,1165.08567,46.05777,1211.14344,30.49004,1241.63348,206.23108,1447.86456,49.43291,1497.29747,479.52885,1976.82632,,,,,,,,,11887,6863,6811,52,1703,3,8
21101,"Pamela Diane McBain","Scottish National Party (SNP)",aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:lower-deeside,S13002843,"Lower Deeside",1,0,Excluded,7,1028.00000,14.90040,1042.90040,6.49004,1049.39044,19.37251,1068.76295,77.11753,1145.88048,78.56773,1224.44821,10.69737,1235.14558,-1235.14558,0.00000,,,,,,,,,11887,6863,6811,52,1703,3,8
8215,"Ken McLeod","Liberal Democrats",aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:lower-deeside,S13002843,"Lower Deeside",1,0,Excluded,5,541.00000,202.64544,743.64544,8.21514,751.86058,18.82271,770.68329,45.35259,816.03588,-816.03588,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,,,,,11887,6863,6811,52,1703,3,8
20501,"Nir Oren","Scottish Green Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:lower-deeside,S13002843,"Lower Deeside",1,0,Excluded,4,195.00000,14.52789,209.52789,3.74502,213.27291,10.49004,223.76295,-223.76295,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,,,,,11887,6863,6811,52,1703,3,8
21102,"Kenneth Raymond Pratt",Independent,aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:lower-deeside,S13002843,"Lower Deeside",1,0,Excluded,3,143.00000,59.97411,202.97411,2.74502,205.71913,-205.71913,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,,,,,11887,6863,6811,52,1703,3,8
21105,"Bill Cormie","Scottish National Party (SNP)",aberdeen-city,"Aberdeen City",local.aberdeen-city.2017-05-04,UTW:midstocketrosemount,S13002841,Midstocket/Rosemount,1,1,Elected,1,1195.00000,0.00000,1195.00000,-6.00000,1189.00000,0.00000,1189.00000,0.00000,1189.00000,0.00000,1189.00000,0.00000,1189.00000,,,,,,,,,,,10908,4835,4755,80,1189,3,8
