Candidate_First_Pref_Votes,Status,Occurred_On_Count,Surname,Firstname,Constituency_Number,Party_Name,Candidate_Id,Count_Number,Transfers,id,Total_Votes
573,,,JOESTER,Kate,4,Scottish Green Party,46,5,46.7812,,683.49094
57,Excluded,3,MACMHICEAN,Seumas Stiubhard,4,Liberal Party in Scotland,47,5,,,
524,,,REDPATH,Vicki,4,Labour Party,48,5,21.37664,,1008.56736
410,,,WIGHT,Tim,4,Liberal Democrats,49,5,4.38974,,499.6587
1377,,,CARDOWNIE,Steve,4,Scottish National Party (SNP),41,6,39.07422,,1481.98592
2230,Elected,1,DAY,Cammy,4,Labour Party,42,6,0,,1620
976,,,GORDON,George,4,Scottish National Party (SNP),43,6,35.50044,,1070.12718
117,Excluded,4,HENDERSON,Ruth Ann,4,Scottish Anti-Cuts Coalition,44,6,,,
1833,Elected,1,JACKSON,Allan George,4,Conservative and Unionist Party,45,6,0,,1620
573,,,JOESTER,Kate,4,Scottish Green Party,46,6,166.22476,,849.7157
57,Excluded,3,MACMHICEAN,Seumas Stiubhard,4,Liberal Party in Scotland,47,6,,,
524,,,REDPATH,Vicki,4,Labour Party,48,6,90.26892,,1098.83628
410,Excluded,5,WIGHT,Tim,4,Liberal Democrats,49,6,-499.6587,,0
1377,,,CARDOWNIE,Steve,4,Scottish National Party (SNP),41,7,72.31384,,1554.29976
2230,Elected,1,DAY,Cammy,4,Labour Party,42,7,0,,1620
976,,,GORDON,George,4,Scottish National Party (SNP),43,7,116.82994,,1186.95712
117,Excluded,4,HENDERSON,Ruth Ann,4,Scottish Anti-Cuts Coalition,44,7,,,
1833,Elected,1,JACKSON,Allan George,4,Conservative and Unionist Party,45,7,0,,1620
573,Excluded,6,JOESTER,Kate,4,Scottish Green Party,46,7,-849.7157,,0
57,Excluded,3,MACMHICEAN,Seumas Stiubhard,4,Liberal Party in Scotland,47,7,,,
524,,,REDPATH,Vicki,4,Labour Party,48,7,248.11342,,1346.9497
410,Excluded,5,WIGHT,Tim,4,Liberal Democrats,49,7,,,
1377,Elected,,CARDOWNIE,Steve,4,Scottish National Party (SNP),41,8,822.9704,,2377.27016
2230,Elected,1,DAY,Cammy,4,Labour Party,42,8,0,,1620
976,Excluded,7,GORDON,George,4,Scottish National Party (SNP),43,8,-1186.95712,,0
117,Excluded,4,HENDERSON,Ruth Ann,4,Scottish Anti-Cuts Coalition,44,8,,,
1833,Elected,1,JACKSON,Allan George,4,Conservative and Unionist Party,45,8,0,,1620
573,Excluded,6,JOESTER,Kate,4,Scottish Green Party,46,8,,,
57,Excluded,3,MACMHICEAN,Seumas Stiubhard,4,Liberal Party in Scotland,47,8,,,
524,Elected,8,REDPATH,Vicki,4,Labour Party,48,8,98.75794,,1445.70764
410,Excluded,5,WIGHT,Tim,4,Liberal Democrats,49,8,,,
